"","BillTrack.Link","State.Link"
"52","https://www.billtrack50.com/billdetail/1415380","https://www.flsenate.gov/Session/Bill/2022/7/BillText/Filed/PDF"
"53","https://www.billtrack50.com/billdetail/1387187","https://www.flsenate.gov/Session/Bill/2022/57/BillText/Filed/PDF"
"54","https://www.billtrack50.com/billdetail/1389298","https://www.flsenate.gov/Session/Bill/2022/211/BillText/Filed/PDF"
"55","https://www.billtrack50.com/billdetail/1392151","https://www.flsenate.gov/Session/Bill/2022/403/BillText/c1/PDF"
"56","https://www.billtrack50.com/billdetail/1392151","https://www.flsenate.gov/Session/Bill/2022/403/BillText/Filed/PDF"
"57","https://www.billtrack50.com/billdetail/1397475","https://www.flsenate.gov/Session/Bill/2022/569/BillText/c2/PDF"
"58","https://www.billtrack50.com/billdetail/1397475","https://www.flsenate.gov/Session/Bill/2022/569/BillText/c1/PDF"
"59","https://www.billtrack50.com/billdetail/1397475","https://www.flsenate.gov/Session/Bill/2022/569/BillText/Filed/PDF"
"60","https://www.billtrack50.com/billdetail/1403065","https://www.flsenate.gov/Session/Bill/2022/747/BillText/Filed/PDF"
"61","https://www.billtrack50.com/billdetail/1415541","https://www.flsenate.gov/Session/Bill/2022/1557/BillText/er/PDF"
"62","https://www.billtrack50.com/billdetail/1415541","https://www.flsenate.gov/Session/Bill/2022/1557/BillText/e1/PDF"
"63","https://www.billtrack50.com/billdetail/1415541","https://www.flsenate.gov/Session/Bill/2022/1557/BillText/c2/PDF"
"64","https://www.billtrack50.com/billdetail/1415541","https://www.flsenate.gov/Session/Bill/2022/1557/BillText/c1/PDF"
"65","https://www.billtrack50.com/billdetail/1415541","https://www.flsenate.gov/Session/Bill/2022/1557/BillText/Filed/PDF"
"66","https://www.billtrack50.com/billdetail/1415400","https://www.flsenate.gov/Session/Bill/2022/148/BillText/Filed/PDF"
"67","https://www.billtrack50.com/billdetail/1388232","https://www.flsenate.gov/Session/Bill/2022/242/BillText/Filed/PDF"
"68","https://www.billtrack50.com/billdetail/1388533","https://www.flsenate.gov/Session/Bill/2022/280/BillText/e1/PDF"
"69","https://www.billtrack50.com/billdetail/1388533","https://www.flsenate.gov/Session/Bill/2022/280/BillText/c2/PDF"
"70","https://www.billtrack50.com/billdetail/1388533","https://www.flsenate.gov/Session/Bill/2022/280/BillText/c1/PDF"
"71","https://www.billtrack50.com/billdetail/1388533","https://www.flsenate.gov/Session/Bill/2022/280/BillText/Filed/PDF"
"72","https://www.billtrack50.com/billdetail/1392180","https://www.flsenate.gov/Session/Bill/2022/620/BillText/er/PDF"
"73","https://www.billtrack50.com/billdetail/1392180","https://www.flsenate.gov/Session/Bill/2022/620/BillText/e1/PDF"
"74","https://www.billtrack50.com/billdetail/1392180","https://www.flsenate.gov/Session/Bill/2022/620/BillText/c1/PDF"
"75","https://www.billtrack50.com/billdetail/1392180","https://www.flsenate.gov/Session/Bill/2022/620/BillText/Filed/PDF"
"76","https://www.billtrack50.com/billdetail/1413811","https://www.flsenate.gov/Session/Bill/2022/1820/BillText/Filed/PDF"
"77","https://www.billtrack50.com/billdetail/1413877","https://www.flsenate.gov/Session/Bill/2022/1834/BillText/Filed/PDF"
"78","https://www.billtrack50.com/billdetail/1291155","https://www.capitol.hawaii.gov/session2022/bills/HB1304_.pdf"
"79","https://www.billtrack50.com/billdetail/1291155","https://www.capitol.hawaii.gov/session2021/bills/HB1304_.pdf"
"80","https://www.billtrack50.com/billdetail/1441156","https://legislature.idaho.gov/wp-content/uploads/sessioninfo/2022/legislation/H0488.pdf"
"81","https://www.billtrack50.com/billdetail/1461552","https://legislature.idaho.gov/wp-content/uploads/sessioninfo/2022/legislation/H0675.pdf"
"82","https://www.billtrack50.com/billdetail/1373584","https://www.ilga.gov/legislation/102/HB/PDF/10200HB4082.pdf"
"83","https://www.billtrack50.com/billdetail/1373584","http://www.ilga.gov/legislation/102/HB/PDF/10200HB4082.pdf"
"84","https://www.billtrack50.com/billdetail/1441455","https://www.ilga.gov/legislation/102/HB/PDF/10200HB5494.pdf"
"85","https://www.billtrack50.com/billdetail/1441435","https://www.ilga.gov/legislation/102/HB/PDF/10200HB5505.pdf"
"86","https://www.billtrack50.com/billdetail/1409464","http://iga.in.gov/static-documents/3/b/9/c/3b9c60d7/HB1041.05.ENRS.pdf"
"87","https://www.billtrack50.com/billdetail/1409464","http://iga.in.gov/static-documents/9/9/6/f/996f670b/HB1041.04.COMS.pdf"
"88","https://www.billtrack50.com/billdetail/1409464","http://iga.in.gov/static-documents/8/8/e/2/88e2449f/HB1041.05.ENRS.FN001.pdf"
"89","https://www.billtrack50.com/billdetail/1409464","http://iga.in.gov/static-documents/4/0/7/d/407db758/HB1041.04.COMS.FN003.pdf"
"90","https://www.billtrack50.com/billdetail/1409464","http://iga.in.gov/static-documents/8/4/b/e/84be9a84/HB1041.04.COMS.FN002.pdf"
"91","https://www.billtrack50.com/billdetail/1409464","http://iga.in.gov/static-documents/6/6/6/5/66650055/HB1041.03.ENGH.pdf"
"92","https://www.billtrack50.com/billdetail/1409464","http://iga.in.gov/static-documents/a/6/0/4/a60445c2/HB1041.04.COMS.pdf"
"93","https://www.billtrack50.com/billdetail/1409464","http://iga.in.gov/static-documents/8/d/6/4/8d642f7c/HB1041.04.COMS.FN001.pdf"
"94","https://www.billtrack50.com/billdetail/1409464","http://iga.in.gov/static-documents/1/8/1/c/181c44fb/HB1041.03.ENGH.FN002.pdf"
"95","https://www.billtrack50.com/billdetail/1409464","http://iga.in.gov/static-documents/e/e/9/e/ee9ec163/HB1041.03.ENGH.FN001.pdf"
"96","https://www.billtrack50.com/billdetail/1409464","http://iga.in.gov/static-documents/8/c/4/d/8c4d8ab1/HB1041.03.ENGH.pdf"
"97","https://www.billtrack50.com/billdetail/1409464","http://iga.in.gov/static-documents/5/0/1/3/501306b9/HB1041.02.COMH.pdf"
"98","https://www.billtrack50.com/billdetail/1409464","http://iga.in.gov/static-documents/3/7/0/a/370aa0d7/HB1041.01.INTR.pdf"
"99","https://www.billtrack50.com/billdetail/1409464","http://iga.in.gov/static-documents/5/9/c/a/59caa9a2/HB1041.02.COMH.FN001.pdf"
"100","https://www.billtrack50.com/billdetail/1409464","http://iga.in.gov/static-documents/6/0/3/1/603115db/HB1041.01.INTR.pdf"
"101","https://www.billtrack50.com/billdetail/1409464","http://iga.in.gov/static-documents/e/a/d/c/eadcd14a/HB1041.01.INTR.FN001.pdf"
"102","https://www.billtrack50.com/billdetail/1410619","http://iga.in.gov/static-documents/a/2/7/f/a27f7561/HB1134.04.COMS.FN001.pdf"
"103","https://www.billtrack50.com/billdetail/1410619","http://iga.in.gov/static-documents/8/e/8/0/8e801002/HB1134.04.COMS.pdf"
"104","https://www.billtrack50.com/billdetail/1410619","http://iga.in.gov/static-documents/5/9/0/d/590d893c/HB1134.03.ENGH.pdf"
"105","https://www.billtrack50.com/billdetail/1410619","http://iga.in.gov/static-documents/4/6/5/9/46599f1f/HB1134.03.ENGH.FN002.pdf"
"106","https://www.billtrack50.com/billdetail/1410619","http://iga.in.gov/static-documents/7/6/7/1/7671e6e6/HB1134.03.ENGH.pdf"
