Link,"State","Bill Number","Name","Last Action","Action Date","Sponsors","Sponsor List","Actions","Versions","Tracked","Position"
https://www.billtrack50.com/billdetail/1418356,"WV","HB2538","Adding “sexual orientation” and “gender identity” to the categories covered by the Human Rights Act","To House Workforce Development","1/12/2022","5","Michael Pushkin (D)*, Evan Hansen (D), Larry Rowe (D), Kayla Young (D), Lisa Zukoff (D)","4","1","46",""
https://www.billtrack50.com/billdetail/1418270,"WV","HB2697","Relating to unlawful discriminatory practices in categories covered by the Human Rights Act and the Fair Housing Act","To House Workforce Development","1/12/2022","5","Danielle Walker (D)*, Jason Barrett (R), Evan Hansen (D), Larry Rowe (D), Kayla Young (D)","4","1","43",""
https://www.billtrack50.com/billdetail/1418421,"WV","SB156","Prohibiting unlawful discriminatory practices covered by Human Rights Act and Fair Housing Act","To Judiciary","1/12/2022","4","Tom Takubo (R)*, Robert Beach (D), Richard Lindsay (D), Ron Stollings (D)","4","1","43",""
