Link,"State","Bill Number","Name","Last Action","Action Date","Sponsors","Sponsor List","Actions","Versions","Tracked","Position"
https://www.billtrack50.com/billdetail/1260838,"NE","LB120","Prohibit discrimination based upon sexual orientation and gender identity","Indefinitely Postponed","4/20/2022","1","Megan Hunt (NP)*","9","1","79",""
https://www.billtrack50.com/billdetail/1263379,"NE","LB230","Prohibit discrimination in public accommodations and under the Nebraska Fair Housing Act on the basis of sexual orientation or gender identity","Indefinitely Postponed","4/20/2022","1","Megan Hunt (NP)*","7","1","48",""
