Link,"State","Bill Number","Name","Last Action","Action Date","Sponsors","Sponsor List","Actions","Versions","Tracked","Position"
https://www.billtrack50.com/billdetail/1325992,"MI","HB4297","Civil rights: general discrimination; sexual orientation and gender identity or expression; include as categories protected under the Elliott-Larsen civil rights act. Amemds title and secs. 102, 103, 202, 203, 204, 205, 206, 207, 209, 302, 302a, 402, 502, 504, 505 & 506 of 1976 PA 453 (MCL 37.2102 et seq.).","Bill Electronically Reproduced 02/23/2021","2/24/2021","52","Abraham Aiyash (D)*, Sarah Anthony (D)*, Kyra Bolden (D)*, Felicia Brabec (D)*, Tommy Brann (R)*, Kelly Breen (D)*, Julie Brixie (D)*, Sara Cambensy (D)*, Darrin Camilleri (D)*, Brenda Carter (D)*, Tyrone Carter (D)*, Mary Cavanagh (D)*, John Cherry (D)*, Cara Clemente (D)*, Kevin Coleman (D)*, Jim Ellison (D)*, Alex Garza (D)*, Jim Haadsma (D)*, Abdullah Hammoud (D)*, Kevin Hertel (D)*, Rachel Hood (D)*, Kara Hope (D)*, Cynthia Johnson (D)*, Matt Koleszar (D)*, Padma Kuppa (D)*, David LaGrand (D)*, Donna Lasinski (D)*, Tullio Liberati (D)*, Mari Manoogian (D)*, Christine Morse (D)*, Cynthia Neeley (D)*, Amos O'Neal (D)*, Ronnie Peterson (D)*, Laurie Pohutsky (D)*, Ranjeev Puri (D)*, Yousef Rabhi (D)*, Julie Rogers (D)*, Terry Sabo (D)*, H. Helena Scott (D)*, Nate Shannon (D)*, Tim Sneller (D)*, William Sowerby (D)*, Samantha Steckloff (D)*, Richard Steenland (D)*, Lori Stone (D)*, Joseph Tate (D)*, Shri Thanedar (D)*, Regina Weiss (D)*, Karen Whitsett (D)*, Angela Witwer (D)*, Tenisha Yancey (D)*, Stephanie Young (D)*","4","1","75",""
https://www.billtrack50.com/billdetail/1340896,"MI","SB0208","Civil rights: general discrimination; sexual orientation and gender identity or expression; include as categories protected under the Elliott-Larsen civil rights act. Amends title & secs. 102, 103, 202, 203, 204, 205, 206, 207, 209, 302, 302a, 402, 502, 504, 505 & 506 of 1976 PA 453 (MCL 37.2102 et seq.).","Referred To Committee On Government Operations","3/9/2021","17","Betty Alexander (D)*, Jim Ananich (D)*, Rosemary Bayer (D)*, Winnie Brinks (D)*, Marshall Bullock (D)*, Stephanie Chang (D)*, Erika Geiss (D)*, Curtis Hertel (D)*, Adam Hollier (D)*, Jeff Irwin (D)*, Sean McCann (D)*, Mallory McMorrow (D)*, Jeremy Moss (D)*, Dayna Polehanki (D)*, Sylvia Santana (D)*, Wayne Schmidt (R)*, Paul Wojno (D)*","2","1","76",""
