Link,"State","Bill Number","Name","Last Action","Action Date","Sponsors","Sponsor List","Actions","Versions","Tracked","Position"
https://www.billtrack50.com/billdetail/1347760,"OH","HB208","Enact Ohio Fairness Act; prohibit certain types of discrimination","Refer to Committee: Commerce and Labor","3/17/2021","37","Brett Hillyer (R)*, Michael Skindell (D)*, Willis Blackshear (D), Kristin Boggs (D), Janine Boyd (D), Juanita Brent (D), Richard Brown (D), Erica Crawley (D), Jeffrey Crossman (D), Sedrick Denson (D), Tavia Galonski (D), Paula Hicks-Hudson (D), Stephanie Howse (D), Catherine Ingram (D), Dontavius Jarrells (D), Brigid Kelly (D), Brian Lampton (R), David Leland (D), Michele Lepore-Hagan (D), Mary Lightbody (D), Beth Liston (D), Adam Miller (D), Joe Miller (D), Jessica Miranda (D), Michael O'Brien (D), Phillip Robinson (D), Allison Russo (D), Michael Sheehy (D), Kent Smith (D), Monique Smith (D), Lisa Sobecki (D), Bride Sweeney (D), Emilia Sykes (D), Daniel Troy (D), Terrence Upchurch (D), Casey Weinstein (D), Thomas West (D)","2","1","82",""
https://www.billtrack50.com/billdetail/1341097,"OH","SB119","Enact Ohio Fairness Act; prohibit certain types of discrimination","Refer to Committee: Government Oversight and Reform","3/10/2021","11","Nickie Antonio (D)*, Michael Rulli (R)*, Hearcel Craig (D), Matthew Dolan (R), Teresa Fedor (D), Tina Maharath (D), Nathan Manning (R), Vernon Sykes (D), Cecil Thomas (D), Sandra Williams (D), Kenneth Yuko (D)","2","1","80",""
