Link,"State","Bill Number","Name","Last Action","Action Date","Sponsors","Sponsor List","Actions","Versions","Tracked","Position"
https://www.billtrack50.com/billdetail/1421058,"NJ","A783","Prohibits teaching of critical race theory in public schools; prohibits public school teachers from engaging in political, ideological, or religious advocacy in classroom.","Introduced, Referred to Assembly Community Development and Affairs Committee","1/11/2022","5","Robert Auth (R)*, Gerard Scharfenberger (R)*, Bethanne McCarthy Patrick (R), F. Parker Space (R), Harold Wirths (R)","1","1","45",""
https://www.billtrack50.com/billdetail/1405083,"NJ","A6136","Prohibits teaching of critical race theory in public schools; prohibits public school teachers from engaging in political, ideological, or religious advocacy in classroom.","Introduced, Referred to Assembly Community Development and Affairs Committee","12/6/2021","2","Robert Auth (R)*, Gerard Scharfenberger (R)*","1","1","19",""
https://www.billtrack50.com/billdetail/1421016,"NJ","S598","Prohibits teaching of critical race theory in public schools; prohibits public school teachers from engaging in political, ideological, or religious advocacy in classroom.","Introduced in the Senate, Referred to Senate Education Committee","1/11/2022","4","Joseph Pennacchio (R)*, Michael Testa (R)*, Edward Durr (R), James Holzapfel (R)","1","1","44",""
https://www.billtrack50.com/billdetail/1402722,"NJ","S4166","Prohibits teaching of critical race theory in public schools; prohibits public school teachers from engaging in political, ideological, or religious advocacy in classroom.","Introduced in the Senate, Referred to Senate Education Committee","11/22/2021","2","Joseph Pennacchio (R)*, Michael Testa (R)*","1","2","19",""
