Link,"State","Bill Number","Name","Last Action","Action Date","Sponsors","Sponsor List","Actions","Versions","Tracked","Position"
https://www.billtrack50.com/billdetail/1373584,"IL","HB4082","INTERSCHOLASTIC SPORTS-GENDER","Added Co-Sponsor Rep. Joe Sosnowski","3/22/2022","4","David Friess (R)*, Amy Grant (R), Adam Niemerg (R), Joe Sosnowski (R)","6","2","49",""
https://www.billtrack50.com/billdetail/1441455,"IL","HB5494","SCHOOL CODE-VARIOUS","Rule 19(a) / Re-referred to Rules Committee","2/18/2022","1","Tom Weber (R)*","7","1","136",""
https://www.billtrack50.com/billdetail/1441435,"IL","HB5505","PARENTAL ACCESS AND CURRICULUM","Rule 19(a) / Re-referred to Rules Committee","2/18/2022","2","Adam Niemerg (R)*, Blaine Wilhour (R)","8","1","45",""
