Link,"State","Bill Number","Name","Last Action","Action Date","Sponsors","Sponsor List","Actions","Versions","Tracked","Position"
https://www.billtrack50.com/billdetail/1406271,"UT","HB0011","Student Eligibility in Interscholastic Activities","House/ to Lieutenant Governor in Executive Branch - Lieutenant Governor","3/28/2022","2","Kera Birkeland (R)*, Curtis Bramble (R)","54","6","119",""
https://www.billtrack50.com/billdetail/1415988,"UT","HB0127","Medical Practice Amendments","House/ filed in House file for bills not passed","3/4/2022","1","Rex Shipp (R)*","13","1","66",""
