Link,"State","Bill Number","Name","Last Action","Action Date","Sponsors","Sponsor List","Actions","Versions","Tracked","Position"
https://www.billtrack50.com/billdetail/1349002,"WA","HB1556","Concerning equitable competition between students who participate in school athletic activities.","By resolution, reintroduced and retained in present status.","1/10/2022","2","Rob Chase (R)*, Brad Klippert (R)","2","2","49",""
https://www.billtrack50.com/billdetail/1412244,"WA","HB1807","Addressing the protection of quality civic education and academic discourse.","Public hearing in the House Committee on Education at 8:00 AM.","1/25/2022","7","Jim Walsh (R)*, Rob Chase (R), Jeremie Dufault (R), Jenny Graham (R), Robert Sutherland (R), Alex Ybarra (R), Jesse Young (R)","4","1","34",""
https://www.billtrack50.com/billdetail/1415141,"WA","HB1886","Prohibiting the teaching of critical race theory and related curricula in public schools.","First reading, referred to Education.","1/11/2022","4","Brad Klippert (R)*, Rob Chase (R), Tom Dent (R), Jesse Young (R)","1","1","27",""
https://www.billtrack50.com/billdetail/1418821,"WA","HB1960","Concerning the housing of inmates in state correctional facilities.","First reading, referred to Public Safety.","1/13/2022","4","Brad Klippert (R)*, Carolyn Eslick (R), Jenny Graham (R), Cyndy Jacobsen (R)","1","1","18",""
