Link,"State","Bill Number","Name","Last Action","Action Date","Sponsors","Sponsor List","Actions","Versions","Tracked","Position"
https://www.billtrack50.com/billdetail/1416775,"WV","HB2157","Forbidding displays relating to sexuality in public school facilities and forbidding the teaching of sexuality in public schools","To House Education","1/12/2022","3","Joseph Jeffries (R)*, Dean Jeffries (R), John Mandt (R)","4","1","5",""
https://www.billtrack50.com/billdetail/1418549,"WV","HB2232","Providing a process by which a city may hold an election to recall an ordinance","To House Judiciary","1/27/2022","4","Patrick Martin (R)*, Thomas Fast (R), Geoffrey Foster (R), Caleb Hanna (R)","9","1","12",""
https://www.billtrack50.com/billdetail/1417626,"WV","HB2319","Prohibiting the regulation and licensing of occupations by local government","To House Government Organization","1/12/2022","2","Geoffrey Foster (R)*, Dean Jeffries (R)","4","1","12",""
https://www.billtrack50.com/billdetail/1316599,"WV","HB2545","West Virginia Religious Freedom Restoration Act","To House Judiciary","2/16/2021","11","Thomas Fast (R)*, Nathan Brown (D), Adam Burkhammer (R), Roger Conley (R), Geoffrey Foster (R), David Kelly (R), Kayla Kessinger (R), Patrick Martin (R), Margitta Mazzocchi (R), Jonathan Pinson (R), Christopher Pritt (R)","4","1","15",""
https://www.billtrack50.com/billdetail/1443511,"WV","HB4016","Creating The Anti-Racism, Anti-Sexism, and Prevention of Political-Economic Bias in School Curriculum and Pedagogy Act of 2022","To House Education","2/1/2022","3","Dean Jeffries (R)*, Geoffrey Foster (R), Brandon Steele (R)","4","1","87",""
https://www.billtrack50.com/billdetail/1418303,"WV","SB71","Prohibiting political subdivisions from enacting certain ordinances, regulations, local policies, or other legal requirements","On 2nd reading, House Calendar","3/12/2022","1","Chandler Swope (R)*","31","3","16",""
https://www.billtrack50.com/billdetail/1417681,"WV","SB182","Prohibiting teaching of divisive acts and critical race theory in public schools","To Education","1/12/2022","5","Michael Azinger (R)*, Amy Grady (R), Robert Karnes (R), Rupert Phillips (R), Randy Smith (R)","4","1","27",""
https://www.billtrack50.com/billdetail/1441194,"WV","SB498","Creating Anti-Racism Act of 2022","House Message received","3/12/2022","5","Patricia Rucker (R)*, Michael Azinger (R), Robert Karnes (R), Mark Maynard (R), David Sypolt (R)","47","2","42",""
