Link,"State","Bill Number","Name","Last Action","Action Date","Sponsors","Sponsor List","Actions","Versions","Tracked","Position"
https://www.billtrack50.com/billdetail/1352974,"WI","AB195","Designating University of Wisconsin and technical college sports and athletic teams based on the sex of the participants.","Failed to concur in pursuant to Senate Joint Resolution 1","3/15/2022","19","Scott Allen (R)*, Janel Brandtjen (R)*, Rachael Cabral-Guevara (R)*, Barbara Dittrich (R)*, Rick Gundrum (R)*, Jesse James (R)*, Mike Kuglitsch (R)*, Clint Moses (R)*, Jon Plumer (R)*, Timothy Ramthun (R)*, Donna Rozar (R)*, Joe Sanfelippo (R)*, Ken Skowronski (R)*, Shae Sortwell (R)*, Paul Tittl (R)*, Ron Tusler (R)*, Kathy Bernier (R), Andre Jacque (R), Stephen Nass (R)","27","1","48",""
https://www.billtrack50.com/billdetail/1352909,"WI","AB196","Designating athletic sports and teams operated or sponsored by public schools or private schools participating in a parental choice program based on the sex of the participants.","Failed to concur in pursuant to Senate Joint Resolution 1","3/15/2022","19","Scott Allen (R)*, Janel Brandtjen (R)*, Rachael Cabral-Guevara (R)*, Barbara Dittrich (R)*, Rick Gundrum (R)*, Jesse James (R)*, Mike Kuglitsch (R)*, Clint Moses (R)*, Jon Plumer (R)*, Timothy Ramthun (R)*, Donna Rozar (R)*, Joe Sanfelippo (R)*, Ken Skowronski (R)*, Shae Sortwell (R)*, Paul Tittl (R)*, Ron Tusler (R)*, Kathy Bernier (R), Andre Jacque (R), Stephen Nass (R)","27","1","47",""
https://www.billtrack50.com/billdetail/1388134,"WI","AB562","Gender identity and sexual orientation programs in public schools.","Failed to pass pursuant to Senate Joint Resolution 1","3/15/2022","11","David Armstrong (R)*, Janel Brandtjen (R)*, Robert Brooks (R)*, Rachael Cabral-Guevara (R)*, Barbara Dittrich (R)*, Cody Horlacher (R)*, Dan Knodl (R)*, Gae Magnafici (R)*, William Penterman (R)*, Donna Rozar (R)*, Shae Sortwell (R)*","12","1","28",""
https://www.billtrack50.com/billdetail/1456328,"WI","AB977","Gender transition procedures.","Failed to pass pursuant to Senate Joint Resolution 1","3/15/2022","15","Scott Allen (R)*, Elijah Behnke (R)*, Janel Brandtjen (R)*, Barbara Dittrich (R)*, Rick Gundrum (R)*, Dan Knodl (R)*, David Murphy (R)*, William Penterman (R)*, Michael Schraa (R)*, Ken Skowronski (R)*, David Steffen (R)*, Chuck Wichgers (R)*, Kathy Bernier (R), Andre Jacque (R), Duey Stroebel (R)","3","1","43",""
https://www.billtrack50.com/billdetail/1367648,"WI","SB322","Designating athletic sports and teams operated or sponsored by public schools or private schools participating in a parental choice program based on the sex of the participants.","Failed to pass pursuant to Senate Joint Resolution 1","3/15/2022","19","Kathy Bernier (R)*, Andre Jacque (R)*, Stephen Nass (R)*, Scott Allen (R), Janel Brandtjen (R), Rachael Cabral-Guevara (R), Barbara Dittrich (R), Rick Gundrum (R), Jesse James (R), Mike Kuglitsch (R), Clint Moses (R), Jon Plumer (R), Timothy Ramthun (R), Donna Rozar (R), Joe Sanfelippo (R), Ken Skowronski (R), Shae Sortwell (R), Paul Tittl (R), Ron Tusler (R)","11","1","52",""
https://www.billtrack50.com/billdetail/1367626,"WI","SB323","Designating University of Wisconsin and technical college sports and athletic teams based on the sex of the participants.","Failed to pass pursuant to Senate Joint Resolution 1","3/15/2022","19","Kathy Bernier (R)*, Andre Jacque (R)*, Stephen Nass (R)*, Scott Allen (R), Janel Brandtjen (R), Rachael Cabral-Guevara (R), Barbara Dittrich (R), Rick Gundrum (R), Jesse James (R), Mike Kuglitsch (R), Clint Moses (R), Jon Plumer (R), Timothy Ramthun (R), Donna Rozar (R), Joe Sanfelippo (R), Ken Skowronski (R), Shae Sortwell (R), Paul Tittl (R), Ron Tusler (R)","11","1","46",""
https://www.billtrack50.com/billdetail/1444409,"WI","SB915","Gender transition procedures.","Failed to pass pursuant to Senate Joint Resolution 1","3/15/2022","15","Kathy Bernier (R)*, Andre Jacque (R)*, Duey Stroebel (R)*, Scott Allen (R), Elijah Behnke (R), Janel Brandtjen (R), Barbara Dittrich (R), Rick Gundrum (R), Dan Knodl (R), David Murphy (R), William Penterman (R), Michael Schraa (R), Ken Skowronski (R), David Steffen (R), Chuck Wichgers (R)","3","1","42",""
