Link,"State","Bill Number","Name","Last Action","Action Date","Sponsors","Sponsor List","Actions","Versions","Tracked","Position"
https://www.billtrack50.com/billdetail/1300320,"KS","HB2210","Making it a crime for a doctor to perform gender reassignment surgery or hormone replacement therapy on minors.","House Died in Committee","5/23/2022","4","Brett Fairchild (R)*, Randy Garber (R), Cheryl Helmer (R), Bill Rhiley (R)","3","1","71",""
https://www.billtrack50.com/billdetail/1451809,"KS","HB2662","Substitute for HB 2662 by Committee on K-12 Education Budget - Establishing the parents' bill of rights and academic transparency act, requiring school districts to establish parent transparency portals to provide information on materials that are used or made available in schools, prohibiting schools from non-renewing a teacher's contract for refusing to teach against certain beliefs or practices and establishing requirements for the administration of certain nonacademic tests, questionnaires,","House Died on Calendar","5/23/2022","0","","10","3","76",""
https://www.billtrack50.com/billdetail/1280980,"KS","SB58","Establishing the parents' bill of rights for parents of students attending elementary or secondary school in this state.","House Motion to override veto failed; Veto sustained; Yea: 72 Nay: 50","4/28/2022","0","","38","3","41",""
https://www.billtrack50.com/billdetail/1305405,"KS","SB160","Enacting the fairness in women's sports act to require that student athletic teams only include members who are of the same biological sex unless designated as coed.","House Motion to override veto failed; Veto sustained; Yea: 81 Nay: 41","4/28/2022","0","","31","3","36",""
https://www.billtrack50.com/billdetail/1311231,"KS","SB208","Creating the fairness in women's sports act to require that female student athletic teams only include members who are biologically female.","House Died in House Committee","5/23/2022","0","","17","2","68",""
https://www.billtrack50.com/billdetail/1310600,"KS","SB214","Making it a crime for a physician to perform gender reassignment surgery or hormone replacement therapy on certain children.","Senate Died in Committee","5/23/2022","1","Mike Thompson (R)*","3","1","68",""
https://www.billtrack50.com/billdetail/1451901,"KS","SB484","Enacting the fairness in women's sports act to require that student athletic teams only include members who are of the same biological sex unless designated as coed.","House Died in House Committee","5/23/2022","0","","26","1","43",""
https://www.billtrack50.com/billdetail/1453274,"KS","SB496","Establishing the parents' bill of rights for parents of students attending elementary or secondary school in this state.","House Died in House Committee","5/23/2022","0","","19","2","43",""
https://www.billtrack50.com/billdetail/1456490,"KS","SB515","Requiring nondiscrimination in school district classroom instruction, public access to learning materials and removal of inherently divisive concepts from state board of education policies, guidelines and other materials.","Senate Died in Committee","5/23/2022","0","","3","1","42",""
