Link,"State","Bill Number","Name","Last Action","Action Date","Sponsors","Sponsor List","Actions","Versions","Tracked","Position"
https://www.billtrack50.com/billdetail/1417631,"VA","HB384","State and local employees; rights of employees, freedoms of conscience and expression.","Governor: Vetoed by Governor","5/27/2022","2","Glenn Davis (R)*, Wendell Walker (R)","46","5","27",""
https://www.billtrack50.com/billdetail/1417722,"VA","HB753","Human rights; religious organizations, promotion of religious principles.","Passed by indefinitely in General Laws and Technology (8-Y 7-N)","2/23/2022","3","Les Adams (R)*, Wendell Walker (R)*, Anna Tata (R)","22","2","42",""
https://www.billtrack50.com/billdetail/1419223,"VA","HB988","Transgender students; model policies.","Failed to report (defeated) in Education (11-Y 11-N)","2/7/2022","2","Scott Wyatt (R)*, David LaRock (R)","9","1","45",""
https://www.billtrack50.com/billdetail/1418766,"VA","HB1126","Parental rights; right to review & obtain educational materials, etc. (The Parents Bill of Rights).","Left in Education","2/15/2022","8","G. John Avoli (R)*, Ronnie Campbell (R), Buddy Fowler (R), David LaRock (R), Chris Runion (R), Wren Williams (R), Thomas Wright (R), Scott Wyatt (R)","3","1","61",""
https://www.billtrack50.com/billdetail/1407847,"VA","SB20","Transgender students; treatment, model policies.","Passed by indefinitely in Education and Health (8-Y 5-N)","2/3/2022","1","Travis Hackworth (R)*","6","1","53",""
https://www.billtrack50.com/billdetail/1414987,"VA","SB177","Human rights and fair housing; religious organizations, promotion of religious principles.","Passed by indefinitely in General Laws and Technology (8-Y 7-N)","1/26/2022","1","Mark Peake (R)*","6","1","68",""
https://www.billtrack50.com/billdetail/1414800,"VA","SB179","Virginia Human Rights Act; employee safety, definition changes.","Passed by indefinitely in General Laws and Technology (8-Y 7-N)","1/26/2022","1","Mark Peake (R)*","6","1","49",""
https://www.billtrack50.com/billdetail/1433299,"VA","SB766","Schools; male students shall not participate in female sports, etc., civil cause of action.","Passed by indefinitely in Education and Health (9-Y 4-N)","2/3/2022","2","Jennifer Kiggans (R)*, Frank Ruff (R)","6","1","38",""
