Link,"State","Bill Number","Name","Last Action","Action Date","Sponsors","Sponsor List","Actions","Versions","Tracked","Position"
https://www.billtrack50.com/billdetail/1461851,"MI","HB5795","Appropriations: supplemental; appropriations in the school aid act for fiscal year 2022-2023; provide for. Amends secs. 11 & 17b of 1979 PA 94 (MCL 388.1611 & 388.1617b).","Referred To Conference Committee 06/23/2022","6/23/2022","2","Thomas Albert (R)*, Brad Paquette (R)*","35","3","30",""
https://www.billtrack50.com/billdetail/1342111,"MI","SB0218","Education: athletics; requirement that only biological males may compete for a position on and compete on a boys' high school team in an interscholastic activity and only biological females may compete for a position on and compete on a girls' high school team in an interscholastic activity; provide for. Amends 1979 PA 451 (MCL 380.1 - 380.1852) by adding sec. 1146a & repeals sec. 1289 of 1976 PA 451 (MCL 380.1289).","Senate Education and Career Readiness (12:00 5/25/2021 Harry T. Gast Appropriations Room, 3rd Floor, Capitol Building)","5/25/2021","13","Tom Barrett (R)*, John Bizon (R)*, Jon Bumstead (R)*, Kevin Daley (R)*, Kim LaSata (R)*, Michael MacDonald (R)*, Aric Nesbitt (R)*, Rick Outman (R)*, Jim Runestad (R)*, Lana Theis (R)*, Curt VanderWall (R)*, Roger Victory (R)*, Dale Zorn (R)*","3","1","40",""
https://www.billtrack50.com/billdetail/1375384,"MI","SB0460","Education: curriculum; certain prohibitions concerning curriculum; provide for. Amends 1976 PA 451 (MCL 380.1 - 380.1852) by adding sec. 1167.","Referred To Committee Of The Whole With Substitute (s-1)","10/27/2021","10","Tom Barrett (R)*, Kevin Daley (R)*, Ruth Johnson (R)*, Kim LaSata (R)*, Rick Outman (R)*, Jim Runestad (R)*, Lana Theis (R)*, Curt VanderWall (R)*, Roger Victory (R)*, Dale Zorn (R)*","9","1","52",""
