Link,"State","Bill Number","Name","Last Action","Action Date","Sponsors","Sponsor List","Actions","Versions","Tracked","Position"
https://www.billtrack50.com/billdetail/1409464,"IN","HB1041","Participation in school sports.","Veto overridden by the Senate; Roll Call 382: yeas 32, nays 15","5/24/2022","12","Gary Byrne (R)*, Michelle Davis (R)*, Stacey Donato (R)*, Blake Doriot (R)*, Dennis Kruse (R)*, Jean Leising (R)*, Jack Sandlin (R)*, R. Michael Young (R)*, R. Michael Young (R)*, Bob Heaton (R), Chris Jeter (R), Joanna King (R)","42","8","46",""
https://www.billtrack50.com/billdetail/1410619,"IN","HB1134","Education matters.","Senator Crane added as cosponsor","2/28/2022","8","Brian Buchanan (R)*, Tony Cook (R)*, John Crane (R)*, Stacey Donato (R)*, Blake Doriot (R)*, Linda Rogers (R)*, Chuck Goodrich (R), John Prescott (R)","66","5","71",""
https://www.billtrack50.com/billdetail/1411668,"IN","HB1228","Education matters.","First reading: referred to Committee on Education","1/6/2022","1","Shane Lindauer (R)*","2","1","39",""
https://www.billtrack50.com/billdetail/1407002,"IN","SB0034","Prohibited services relating to care of minors.","Senator Tomes added as coauthor","1/13/2022","3","Dennis Kruse (R)*, Jeff Raatz (R)*, Jim Tomes (R)","4","1","50",""
https://www.billtrack50.com/billdetail/1416729,"IN","SB0402","Family and juvenile law matters.","Senate Family and Children Services Hearing (00:00 1/20/2022 Room 431)","1/20/2022","1","Erin Houchin (R)*","3","1","26",""
https://www.billtrack50.com/billdetail/1416938,"IN","SB0415","School discrimination.","First reading: referred to Committee on Education and Career Development","1/12/2022","1","Erin Houchin (R)*","2","1","24",""
