Link,"State","Bill Number","Name","Last Action","Action Date","Sponsors","Sponsor List","Actions","Versions","Tracked","Position"
https://www.billtrack50.com/billdetail/1257500,"NH","HB68","Relative to the definition of child abuse.","Removed from Consent (Rep. Testerman) 04/07/2021 House Journal 5 P. 2","4/7/2021","1","Dave Testerman (R)*","7","2","45",""
https://www.billtrack50.com/billdetail/1257712,"NH","HB198","Relative to an exception to the opportunity for public education without discrimination.","Inexpedient to Legislate: Motion Adopted Voice Vote 01/05/2022 House Journal 1","1/10/2022","8","Rick Ladd (R)*, Ralph Boehm (R), Glenn Cordelli (R), Gregory Hill (R), Alicia Lekas (R), Jeanine Notter (R), Mark Pearson (R), James Spillane (R)","8","1","64",""
https://www.billtrack50.com/billdetail/1408767,"NH","HB1077","Repealing the prohibition on conversion therapy for minors.","Lay HB1077 on Table (Rep. Alexander Jr.): Motion Adopted Regular Calendar 197-147 03/16/2022 House Journal 7","3/17/2022","2","Dave Testerman (R)*, Kurt Wuelper (R)","8","1","16",""
https://www.billtrack50.com/billdetail/1408688,"NH","HB1180","Relative to state recognition of biological sex.","Lay HB1180 on Table (Rep. Query): Motion Adopted Regular Calendar 175-167 03/16/2022 House Journal 7","3/20/2022","4","Linda Gould (R)*, Judy Aron (R), Leah Cushman (R), Katherine Prudhomme-O'Brien (R)","13","1","25",""
https://www.billtrack50.com/billdetail/1408279,"NH","HB1431","Establishing the parental bill of rights.","Reconsider 2022-2085c (Rep. Espitia): Motion Failed Regular Calendar 170-177 05/26/2022 House Journal 14","5/26/2022","11","Paul Terry (R)*, Mark Alliegro (R), Aidan Ankarberg (R), Melissa Blasek (R), Robert Giuda (R), Jeffrey Greeson (R), Gregg Hough (R), Dawn Johnson (R), Richard Littlefield (R), John Potucek (R), Norman Silber (R)","39","4","46",""
https://www.billtrack50.com/billdetail/1409533,"NH","HB1651","Adding sexual reassignment to the definition of child abuse.","Removed from Consent (Rep. Testerman) 03/10/2022 House Journal 5","3/21/2022","1","Dave Testerman (R)*","8","1","23",""
