Link,"State","Bill Number","Name","Last Action","Action Date","Sponsors","Sponsor List","Actions","Versions","Tracked","Position"
https://www.billtrack50.com/billdetail/1414386,"AK","HB228","Public Schools: Nondiscrimination; Tenets","COSPONSOR(S): VANCE","1/24/2022","3","Thomas McKay (R)*, Benjamin Carpenter (R), Sarah Vance (R)","5","1","19",""
https://www.billtrack50.com/billdetail/1414390,"AK","HB230","Designate Sex For School-sponsored Sports","COSPONSOR(S): MCCABE","4/7/2022","6","Thomas McKay (R)*, Ronald Gillham (R), Kevin McCabe (R), Sara Rasmussen (R), George Rauscher (R), Sarah Vance (R)","7","1","37",""
https://www.billtrack50.com/billdetail/1372832,"AK","SB140","Designate Sex For School-sponsored Sports","BILL TABLED Y11 N8 E1","5/17/2022","3","Shelley Hughes (R)*, Lora Reinbold (R), Mike Shower (R)","42","3","54",""
