Link,"State","Bill Number","Name","Last Action","Action Date","Sponsors","Sponsor List","Actions","Versions","Tracked","Position"
https://www.billtrack50.com/billdetail/1442588,"TN","SB2153","AN ACT to amend Tennessee Code Annotated, Title 49, relative to participation in athletics.","Effective date(s) 07/01/2022","5/9/2022","6","Joey Hensley (R)*, Paul Bailey (R), Janice Bowling (R), Paul Rose (R), John Stevens (R), Dawn White (R)","30","1","29",""
https://www.billtrack50.com/billdetail/1444090,"TN","SB2283","AN ACT to amend Tennessee Code Annotated, Title 4; Title 9 and Title 49, relative to higher education.","Passed on Second Consideration, refer to Senate Education Committee","2/3/2022","1","Mike Bell (R)*","3","1","12",""
https://www.billtrack50.com/billdetail/1443774,"TN","SB2290","AN ACT to amend Tennessee Code Annotated, Title 49, Chapter 7, relative to higher education.","Comp. became Pub. Ch. 818","4/13/2022","7","Mike Bell (R)*, Janice Bowling (R), Joey Hensley (R), Brian Kelsey (R), Paul Rose (R), John Stevens (R), Dawn White (R)","21","1","30",""
https://www.billtrack50.com/billdetail/1443855,"TN","SB2292","AN ACT to amend Tennessee Code Annotated, Title 39, Chapter 17 and Title 49, Chapter 1, relative to children.","Comp. became Pub. Ch. 1002","5/9/2022","4","Mike Bell (R)*, Paul Bailey (R), Janice Bowling (R), Paul Rose (R)","15","1","15",""
https://www.billtrack50.com/billdetail/1443791,"TN","SB2298","AN ACT to amend Tennessee Code Annotated, Title 4; Title 5; Title 6; Title 7; Title 8; Title 49; Title 50; Title 62; Title 63; Title 64 and Title 65, relative to discrimination.","Assigned to General Subcommittee of Senate Commerce & Labor Committee","2/25/2022","1","Mark Pody (R)*","4","1","14",""
https://www.billtrack50.com/billdetail/1443884,"TN","SB2360","AN ACT to amend Tennessee Code Annotated, Section 14-4-103; Title 49 and Title 63, relative to parental rights.","Assigned to General Subcommittee of Senate Health and Welfare Committee","3/23/2022","1","Janice Bowling (R)*","13","1","27",""
https://www.billtrack50.com/billdetail/1444320,"TN","SB2407","AN ACT to amend Tennessee Code Annotated, Title 49, Chapter 6, relative to public school libraries.","Effective date(s) 03/24/2022","4/4/2022","7","Jack Johnson (R)*, Rusty Crowe (R), Ferrell Haile (R), Joey Hensley (R), Paul Rose (R), Page Walley (R), Dawn White (R)","22","1","14",""
https://www.billtrack50.com/billdetail/1446197,"TN","SB2696","AN ACT to amend Tennessee Code Annotated, Title 8; Title 9; Title 14; Title 33; Title 63 and Title 68, relative to health.","Assigned to General Subcommittee of Senate Health and Welfare Committee","3/9/2022","3","Janice Bowling (R)*, Joey Hensley (R), Mark Pody (R)","14","1","60",""
https://www.billtrack50.com/billdetail/1446850,"TN","SB2777","AN ACT to amend Tennessee Code Annotated, Title 49, Chapter 6, relative to student pronouns.","Placed on Senate Finance, Ways, and Means Committee calendar for 4/27/2022","4/26/2022","1","Mike Bell (R)*","21","1","25",""
https://www.billtrack50.com/billdetail/1435176,"TN","SJR0862","A RESOLUTION to propose an amendment to Article I of the Constitution of Tennessee, relative to parental rights.","Passed on Second Consideration, refer to Senate Judiciary Committee","1/27/2022","1","Janice Bowling (R)*","3","1","4",""
